frame,gesture,gesture_prev,dt,velocity,velocity_prev,acceleration_raw,acceleration,jerk
0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0
1,0.08,0.0,0.019767352676391604,4.047077082585014,0.0,204.73541140481035,15.813882141113284,800.0
2,0.18,0.08,0.020214683685302735,4.946899073800788,4.047077082585014,44.51328574930891,31.98562908935547,800.0
3,0.35,0.18,0.020275295463562014,8.384588047336596,4.946899073800788,169.55062281158325,48.20586546020508,800.0
4,0.58,0.35,0.020102185079193115,11.441542254929432,8.384588047336596,152.07074233720766,64.28761352355957,800.0
5,0.82,0.58,0.020103327638778687,11.9383220684842,11.441542254929432,24.711322547243167,48.20495141253662,-800.0
6,0.94,0.82,0.020125328720298766,5.962635525995948,11.9383220684842,-296.92367392046964,32.10468843629761,-800.0
7,0.9,0.94,0.020099419277974703,-1.9901072487120377,5.962635525995948,-395.67027607721684,16.025153013917844,-800.0
8,0.84,0.9,0.020096613757021105,-2.9855776065277664,-1.9901072487120377,-49.534233470946994,-0.05213799169904121,-800.0
9,0.79,0.84,0.020119078337372035,-2.485203306113821,-2.9855776065277664,24.870637313662588,16.043124678198588,800.0
10,0.76,0.79,0.02015029265276797,-1.488812123821886,-2.485203306113821,49.447975742181804,32.163358800412965,800.0
11,0.81,0.76,0.02011092789351166,2.486210495346235,-1.488812123821886,197.6548591002891,48.252101115222295,800.0
12,0.88,0.81,0.020078667290388767,3.486287161773305,2.486210495346235,49.807920613624866,49.807920613624866,77.48619347596383
13,0.97,0.88,0.020075870383518858,4.4829936775187,3.486287161773305,49.64698898253669,49.64698898253669,-8.016172052011797
14,1.0,0.97,0.020072372042013994,1.4945916674524695,4.4829936775187,-148.88135810810653,33.58909134892549,-800.0
15,0.91,1.0,0.020099488028176012,-4.477725993509661,1.4945916674524695,-297.1378003554106,17.509500926384682,-800.0
16,0.74,0.91,0.020132884097922583,-8.443897018089999,-4.477725993509661,-196.99964522169918,1.4031936480466136,-800.0
17,0.48,0.74,0.020115838916384056,-12.0,-8.443897018089999,-176.78124172159718,-14.689477485060632,-800.0
18,0.23,0.48,0.020085381117590555,-12.0,-12.0,0.0,0.0,731.3516930079933
19,0.12,0.23,0.020073537692142356,-5.479851219402086,-12.0,324.8131386003863,16.058830153713885,800.0
20,0.16,0.12,0.02010496901121863,1.9895579037042979,-5.479851219402086,371.5205489219323,32.14280536268879,800.0
21,0.32,0.16,0.02008257751330448,7.967104814807851,1.9895579037042979,297.64839235120576,48.208867373332374,800.0
22,0.57,0.32,0.020073042754992557,12.0,7.967104814807851,200.91100459540888,64.26730157732642,800.0
23,0.8,0.57,0.020067154014573964,11.461515660514708,12.0,-26.834116043272125,48.213578365667246,-800.0
24,0.93,0.8,0.020067638024138062,6.4780917337472115,11.461515660514708,-248.33136419808145,32.1594679463568,-800.0
25,0.89,0.93,0.020071548806075916,-1.9928706243083505,6.4780917337472115,-422.03830107476773,16.102228901496066,-800.0
26,0.86,0.89,0.020098761974418625,-1.492629249412652,-1.9928706243083505,24.889163597857294,24.889163597857294,437.187858015588
27,0.83,0.86,0.02010019583092575,-1.4925227720340237,-1.492629249412652,0.005297330410309769,8.809006933116695,-800.0
28,0.85,0.83,0.020099266332970506,0.9950611961986068,-1.4925227720340237,123.76491395370181,24.8884199994931,800.0
29,0.9,0.85,0.020099173383174983,2.48766449479236,0.9950611961986068,74.26192461443271,40.96775870603308,800.0
